,,,,,,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC3,BC3,BC3,BC3,BC3,BC3,BC3,BC3,BC3,BC3,BC3,BC3,BC15,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC38,BC38,BC38,BC38,BC38,BC38,BC38,BC38,BC38,BC38,BC38,BC38,BC39,BC39,BC39,BC40,BC40,BC40,BC40,BC41,BC41,BC42
KEGG,element,enzyme_number,pathway,all_gene,gene,Zod_Metabat_411,Zod_Metabat_546,A05DMB_2,A14_8_m_bin19,AM_2014_bin_0583,AS06rmzACSIP_217,Bin13_14_8m,BinDmb219,Chersky_322,Co191P4bin18,Emb289P1bin127,fen_988,fen_993,Lab288P4bin61,MF_4_2_1_10_12_7,MF_4_7_5_8,MF_5_3_1_4,MWv41,Nc150P4bin1,Nt197P4bin22,SpSt_546,SpSt_998,SZUA_568,Th196P4bin19,Lab288P4bin25,UBA11852,LaPlata_bin_2628,A0715_SJ02_107_054,A1015_Q2_40_375,A0116_SJ02_428,MBMAG143,A0715_SJ02_89,MBMAG267,MBMAG531,MBMAG619,A0216_BV02_MP12_107_017_filtered,palsa_986,SJ75_69_contigs,bog_990,MBMAG207,MBMAG220,A1015_BV01_concoct_2,A05DMB_5,A1015_Q2_107_481,A1015_Q2_40_586,A1015_Q2_107_497,A0116_SJ02_107_027,SpSt_266,QZM_B1_bin_37_1,MBMAG405,L_E_AR_18,L_E_AR_33,SJ75_4_contigs,QUI85_23_contigs,A13_1_40CM_2_52_14,A13_1_40CM_3_52_10,BA_10,BA_12,BA_14,BA_16,BA_18,BA_1,BA_26,BA_4,BA_7,A0116_SJ02_599,BA_9,A13_1_20CM_2_53_14,Archaea_bin_1,BA_11,BA_27,MBMAG504,MBMAG202,QUI85_58_2_contigs,1015_Q2_604,A3300010339_29,A3300017925_10,A3300025469_14,A3300025472_24,A0116_SJ02_102,A0116_SJ02_112,A0116_SJ02_40_099,A0116_SJ02_40_108,A0116_SJ02_519,A1015_Q2_107_002,A1015_Q2_151,fen_987,MAQ_0_bin_072,A0216_BV02_MP05_40_187_filtered,A3300010341_32,MAQ_bin_044_fasta_assembly,A1015_Q2_40_006,QUI85_69_contigs
K02036,Transporter,124,Sulfur_phosphate,pstABCS,pstB,1,1,1,0,2,1,0,1,1,1,2,2,0,1,0,0,0,2,1,1,1,1,1,1,1,0,1,0,1,1,2,2,1,2,2,2,1,1,1,2,1,0,0,0,0,2,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,2,1,0,1,1,0,0,1,1,0,1,2,1,0,2,1,0,1,1,1,0,1,2,1,1
K02037,Transporter,125,Sulfur_phosphate,pstABCS,pstC,1,2,1,0,2,1,0,0,1,1,2,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,2,2,2,1,2,2,1,1,1,1,2,1,0,0,0,0,0,1,1,2,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,2,0
K02038,Transporter,126,Sulfur_phosphate,pstABCS,pstA,0,0,1,0,2,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,2,2,2,1,2,2,1,1,1,0,2,1,0,0,0,0,0,2,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,3,0,1,1,1,0,1,1,0,1,1,1,0,1,2,1,0,0,0,1,0,0,1,1,0,1,2,0
K02040,Transporter,127,Sulfur_phosphate,pstABCS,pstS,1,1,1,0,2,1,0,2,0,1,2,0,0,1,0,0,1,2,2,1,2,0,1,1,0,0,1,0,1,1,3,3,2,1,3,0,2,2,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,3,1,0,1,1,0,1,0,0,0,0,2,2,1,1,0,0,1,0,1,0,0,1,2,0
K03320,Transporter,128,Nitrogen,amt,amt,2,2,1,0,3,2,0,2,3,0,0,3,4,0,1,0,2,3,1,0,4,3,3,0,0,0,2,2,1,0,3,1,3,2,3,3,2,2,4,3,1,0,0,1,0,1,2,0,0,2,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,2,0,1,1,2,2,1,2,0,0,1,0,0,0,2,1,0,1,0,0,0
K02013,Transporter,129,Iron,fitBCE,fitB,1,3,4,1,0,2,0,4,1,4,2,3,0,2,1,1,0,10,5,2,3,1,1,2,2,1,0,2,1,1,1,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0
K02015,Transporter,130,Iron,fitBCE,fitC,1,4,4,1,0,2,0,4,1,4,2,1,0,4,2,1,0,10,5,2,3,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
K02016,Transporter,131,Iron,fitBCE,fitE,2,4,6,1,0,2,0,3,1,5,3,1,0,3,3,0,0,14,6,2,4,1,1,4,0,1,1,2,1,0,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,2,0
K04758,Transporter,132,Iron,feoABC,feoA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
