,Bathyarchaeota_Clade,Tree,SJ75_69-contigs,1015_Q2.40_375,MBMAG207,MBMAG267,MF-4.2.1.10.12.7,MBMAG143,MBMAG619,UBA11852,MF-4.7.5.8,MBMAG220,palsa_986,A05DMB_2,bog_990,Chersky_322,MBMAG531,0116_SJ02_428,AM-2014_bin-0583,fen_993,Zod_Metabat.546,BinDmb219,Bin13_14.8m,Zod_Metabat.411,AS06rmzACSIP_217,SZUA-568,SpSt-546-fixed,0715_SJ02_89,MF-5.3.1.4,Lab288P4bin25-fixed,Emb289P1bin127-fixed,MWv41,0216_BV02_MP12.107.017.filtered,fen_988,14_8_m_bin19,Lab288P4bin61-fixed,SpSt-998-fixed,Nc150P4bin1-fixed,Th196P4bin19-fixed,Nt197P4bin22-fixed,LaPlata_bin-2628,Co191P4bin18-fixed,0715_SJ02_107_054,QUI85_23-contigs-fixed,0116_SJ02_107_027,SpSt-266-fixed,MBMAG405,A05DMB_5,SJ75_4-contigs,1015_Q2.107_481,L.E.AR.18,QZM_B1_bin_37_1,1015_Q2.107_497,L.E.AR.33,1015_Q2.40_586,1015_BV01_concoct_2,BA_16,BA_27,BA_14,BA_11,BA_12,BA_10,BA_4,BA_9,BA_18,BA_1,0116_SJ02_599,Archaea.bin_1,13_1_20CM_2_53_14,BA_7,13_1_40CM_2_52_14,BA_26,13_1_40CM_3_52_10,MBMAG504,0116_SJ02_112,3300010339_29,QUI85_58_2-contigs,MBMAG202,0116_SJ02_40_108,0116_SJ02_40_099,3300025469_14,3300025472_24,1015_Q2_604,0116_SJ02_102,3300017925_10,1015_Q2_151,0116_SJ02_519,1015_Q2.107_002,0216_BV02_MP05.40.187.filtered,fen_987,MAQ_0.bin.072,3300010341_32,1015_Q2.40_006,MAQ.bin.044sta_assembly,QUI85_69-contigs
SJ75_69,BC1,#E63232,,70.47718941,72.90973885,75.02157895,60.9029106,72.01192358,74.39121693,61.67299742,60.64583333,75.3363255,72.47262603,65.31034272,69.46614973,64.46166667,73.37533013,76.03971831,68.92765823,70.20594796,64.88984252,69.12029888,65.7464539,65.16343648,64.51590909,68.26719243,65.47757256,75.05401376,62.30825359,63.2776618,64.95052395,62.18327251,71.68600543,65.98060921,60.84151376,64.75080175,66.20638051,62.05959032,62.41539235,64.52913562,65.22112832,62.47513228,69.62995736,57.15267857,57.74074074,62.62770138,59.4691582,62.34231434,59.10965608,59.23763441,60.98213675,60.00027778,59.16088825,60.84295416,57.54484375,57.67046154,47.75926966,46.79399038,46.82396694,47.18741007,46.17871901,46.72787234,45.95945946,46.66150943,47.16440678,46.52926829,46.27828054,47.21985981,45.64718615,48.08858447,47.25114943,46.82775735,47.22914894,47.70302326,47.64530075,47.64289474,47.27092391,47.71559322,47.87244898,48.6975,48.8333887,48.58629032,48.1245935,47.82426036,48.59723837,48.20082988,47.97713004,48.34920213,46.91245283,47.82411972,47.19571429,48.5700495,47.49090909,48.05328185,48.60433213
1015_Q2.40_375,BC1,#E63232,70.47718941,,74.89004149,73.16010038,59.82770801,75.20976096,71.97011299,60.91713555,59.79589947,72.80459402,71.43408537,64.43331117,70.17604485,64.41854714,71.11097884,75.20475504,68.40691004,69.18863636,64.09200299,68.19913793,67.7504,63.91671949,63.72891332,67.8189313,65.46917989,74.81021992,62.79505495,64.12848837,65.26809045,61.56938776,72.22830882,66.04920749,61.23295964,64.63014019,65.9221709,63.08651911,62.89455253,64.17779553,64.34270588,63.4488,74.70136452,55.4456,59.67910714,60.85552083,59.22896,60.89576271,59.77363897,59.28392283,59.29017094,57.51172566,59.63009119,59.83267223,58.34765625,57.18980892,48.2377095,48.27234637,48.51396761,47.72334495,47.31837607,47.20413223,47.46365854,47.55358423,48.11555024,46.9166,47.7278,47.89776119,48.41407767,48.40184426,47.95158103,47.4655914,48.30441176,48.90572139,48.10194553,47.58018293,47.61639344,47.9609589,49.05387597,47.13318386,48.40212418,48.11411483,46.99372694,48.26324503,48.57594086,47.64807018,47.73864734,47.3785,47.31125541,48.55322034,48.6436,48.93259912,47.59215686,47.47007299,47.98467742
MBMAG207,BC1,#E63232,72.90973885,74.89004149,,75.45892034,63.41184573,76.17932784,73.78097345,63.54396423,61.71777939,75.32374332,73.5983871,65.29147449,72.57304604,65.76173913,73.4867679,74.22438735,70.61185462,71.44670963,65.22485056,70.15777538,67.16269947,65.40570676,66.36623422,70.35495833,68.28273767,74.96707904,64.28120525,65.09585799,66.68185185,63.40829918,71.78893805,68.61487219,61.26388889,66.51050319,68.66450094,65.51582774,65.01399573,66.65914688,67.27221519,65.05484694,77.89090909,55.94585576,58.85244821,61.70500569,60.40156382,61.09463337,60.48001567,59.47841091,60.33790412,59.11707617,59.28767886,59.93110022,58.98719397,58.36094891,47.85885886,46.60533333,47.56875,47.04792453,46.98185012,47.11536797,46.37819277,47.03942308,47.2501182,46.81520681,47.54322799,47.32968338,47.1062069,47.97764977,47.00793651,46.56832359,47.0110984,47.71126943,47.63057325,47.88172205,46.95188953,48.32951583,48.09186296,46.81692112,47.80744308,48.21011236,46.86116173,47.40991667,48.5193323,47.40052966,46.78986014,47.3532967,46.88982869,48.03788168,47.89413947,47.95762712,47.05096154,47.7254509,47.50372051
MBMAG267,BC1,#E63232,75.02157895,73.16010038,75.45892034,,65.08771574,75.48037007,85.39622818,64.79368088,63.1271028,85.05043621,79.5654661,68.51697358,74.99853286,67.26185613,84.21174271,76.25402685,73.84508321,75.3137115,67.70667293,73.3140625,71.04940299,67.95504902,68.05032415,71.86767123,69.22578313,76.06448413,66.48273333,66.62453826,67.72949413,63.75302115,75.74112022,70.65477876,63.07174497,67.52589208,69.75852192,65.9442446,65.83688431,67.58226717,69.10384615,66.28028409,72.97789948,56.28267717,60.86518438,63.10410628,61.26194523,63.21833137,61.1404685,61.34829137,62.01420188,60.25254902,61.34581784,61.88402123,60.57536082,59.71186975,47.99411765,46.54146707,47.66646192,47.56508621,47.18776042,47.32063882,46.65507813,47.4358945,47.54252577,47.22592593,47.3855615,47.29926901,47.22903646,47.99574176,47.40102506,46.83208955,47.40582902,47.96909621,47.57573529,48.01934426,46.68908795,48.21438776,48.63985149,47.49649123,48.07782027,48.36483791,47.33271144,47.98534972,48.49543147,47.80035971,47.68131868,47.6009375,47.45619048,48.15577299,48.40922819,48.67446524,47.09067278,47.77445652,48.01176471
MF-4.2.1.10.12.7,BC1,#E63232,60.9029106,59.82770801,63.41184573,65.08771574,,61.50485948,64.66559501,62.3309,65.1335175,65.44123253,64.90843447,68.00418134,62.4799775,63.80308183,63.32404922,63.11383648,63.84430255,62.86574655,73.70197133,64.31178604,62.10974576,75.38636919,61.52232143,64.03987936,61.04051508,63.39510926,73.92588141,60.4740448,61.10653105,60.75373134,64.2124031,60.73838527,63.88748412,60.89502618,61.32806604,59.90321181,59.32889073,59.88029661,61.03377704,60.41949878,61.66884615,56.58132911,58.54334204,61.4559792,59.27865239,61.91614865,58.48167082,58.93014403,60.29276944,59.78642202,58.30165975,60.42444598,57.75638298,57.6527972,48.59782609,47.09967427,48.13486239,47.96205128,48.36391437,46.83167116,47.30699088,47.62407407,47.8933642,48.10509259,47.23027108,47.94522968,47.87460815,48.79923547,47.56977612,47.78294872,47.86764706,47.72863372,47.49852151,48.3766,46.46004367,48.16727053,48.15542005,48.79695652,48.71257928,47.84775449,48.35927536,47.66271368,48.36118547,47.41421446,47.71928783,47.75267296,47.18333333,47.74334239,48.5834004,49.09291237,48.48244514,48.91773836,46.32015306
MBMAG143,BC1,#E63232,72.01192358,75.20976096,76.17932784,75.48037007,61.50485948,,73.47263752,62.23657658,60.97344045,75.02610442,72.78767234,65.37959744,72.19805795,65.82205422,73.10004146,74.42758449,70.79153439,71.18298407,64.06430868,70.07074766,67.16865149,64.36210641,65.88724076,69.16778116,66.61864629,74.79624573,63.81758721,64.95678514,66.10536481,62.33256803,72.00499495,67.50893195,60.8959588,66.44262721,67.41557067,64.47167139,64.10088315,65.52877155,65.81923701,64.42318436,74.93298755,55.23510499,58.67584951,60.90256233,60.0045082,61.21035422,59.73320388,58.77490196,60.38739377,58.36288889,59.35552381,60.1851773,59.85730858,58.08209302,47.12988506,46.68074205,46.66703911,47.23143564,46.2509009,46.95571848,46.52323718,47.20953608,47.08221884,46.38211009,47.41596386,47.1579661,46.32719033,47.68691176,47.19456233,46.35790155,47.0117737,47.06253968,46.70483425,46.68188976,46.5734767,47.31830664,47.75084507,46.05721831,48.02191943,48.14266862,47.19171598,47.81160521,48.3533195,47.49267241,47.10743034,47.09550562,47.16292614,46.98275058,47.63640777,47.47413793,46.52867925,47.465625,47.19271739
MBMAG619,BC1,#E63232,74.39121693,71.97011299,73.78097345,85.39622818,64.66559501,73.47263752,,64.55516179,63.12453846,84.12290146,78.87212625,67.30209689,75.3183679,66.11404723,84.32068224,74.72666113,72.49399431,75.05790746,67.67069726,71.9184466,69.64857916,67.73559962,66.91957809,71.67371179,69.18226788,74.05348036,66.38530559,65.76674787,67.25172414,63.58831351,74.39940527,70.77728416,62.72680879,67.12129707,69.47583937,66.23532483,65.59063169,67.67201258,67.89508197,65.7666841,71.38304498,56.88737864,59.67977941,62.91194896,61.33722781,62.51959607,61.4013302,60.93201681,61.24933702,60.15909091,60.39295082,60.94853101,60.57065217,58.11638418,47.53053797,46.21043956,46.78504464,46.49072658,46.58686047,46.58241379,45.99242424,46.77885375,47.15429234,46.10915842,46.86513002,46.75893333,46.93133803,47.27530562,46.92895833,46.40655577,46.83122066,47.60350242,47.20141414,47.09637883,46.51535211,47.80114236,48.22255717,46.75051151,47.74078727,47.91674107,46.99747899,47.46311337,48.27575758,47.27192067,46.42452381,47.22302452,47.10248963,47.65126354,47.88777293,47.77457831,46.59591549,47.14248047,47.06802508
UBA11852,BC1,#E63232,61.67299742,60.91713555,63.54396423,64.79368088,62.3309,62.23657658,64.55516179,,61.37408313,64.97354312,64.71420233,66.60268226,62.37166262,63.73113674,63.56541812,62.76486742,62.72715582,63.644,65.67271386,64.50705882,63.24795082,65.17610687,61.0650514,64.06899038,62.28883861,63.94239865,64.21428571,60.71002227,61.25070175,63.24505095,63.96904762,60.55829384,62.51735358,61.1077187,62.28024425,60.74178357,60.14961089,61.61472603,61.19574209,60.51607495,62.14636119,55.95778252,59.3899635,62.82728155,61.34151292,63.40332661,60.516,60.8145768,61.98957916,59.73901919,59.75975232,61.1454902,58.16223022,58.73356401,48.20345745,47.46957547,48.14813953,47.70487365,47.20081967,47.51799163,46.83716814,47.58824627,48.27829787,47.34666667,47.65668103,47.51116505,47.23298319,47.94655172,47.46746324,47.70776515,47.514375,47.44240506,47.84416667,46.90260116,48.01119403,48.33185053,48.91300813,47.72720588,47.75111465,48.9258547,47.97638298,47.22942122,48.23061224,47.6956,47.44481982,47.77422907,47.28551587,48.07161716,48.23226744,48.44220779,46.83404255,47.80614035,48.33368644
MF-4.7.5.8,BC1,#E63232,60.64583333,59.79589947,61.71777939,63.1271028,65.1335175,60.97344045,63.12453846,61.37408313,,63.76034137,61.94732824,65.05562331,61.15295815,61.7736246,62.28994662,61.9011236,61.43656716,61.42161742,64.90369497,62.55972222,62.26026012,65.38320373,59.87548148,61.57719735,59.38589951,62.42970297,64.70998043,59.97520492,59.95187296,58.45904412,61.90521368,58.90388788,70.41395161,59.83673633,59.66425305,59.09163265,59.03561368,59.53758929,59.32901235,59.8924408,60.63303797,54.5792887,59.30127273,60.88850932,59.61268116,62.20796964,59.01965409,58.74559271,61.2541744,58.84526432,58.5785061,60.84228625,57.69076087,57.9805,49.19626437,47.2299505,47.95195652,47.27070896,47.92891304,47.20766129,46.77077626,47.90307692,47.7289916,47.55153509,46.61231884,46.67352941,47.54934211,48.01802885,46.81529851,47.40203704,47.79350649,47.85298165,47.02877551,47.71939891,45.84781421,47.53198529,48.30643939,47.98425926,47.87176871,47.84093137,48.43650442,47.96801948,48.18148148,47.22041985,46.92241379,48.6962766,47.37817797,47.78854167,48.67268519,49.32191489,47.810199,47.75950704,46.87061688
MBMAG220,BC1,#E63232,75.3363255,72.80459402,75.32374332,85.05043621,65.44123253,75.02610442,84.12290146,64.97354312,63.76034137,,78.27923729,69.97466488,74.57009174,67.32846924,88.45802998,76.95934579,74.14474026,75.14706858,68.35799712,74.5238806,72.02556675,67.60585774,68.91418827,71.96564537,68.85606236,76.59482544,66.2757384,68.08541226,69.19750378,64.1628,77.07046512,70.00509554,64.16645299,68.95548872,69.26283368,66.62326642,66.57534602,67.87621502,70.06179138,67.52125693,73.49451098,56.54228856,59.74252669,63.25211009,60.78038793,63.6821499,61.84544335,60.39861496,61.77519763,59.65548077,60.36072508,61.98839286,59.39275093,58.73083624,46.98323699,46.17301587,46.97071429,46.81397059,46.71026786,46.46680851,45.80535714,46.86633858,46.90555556,46.10069124,47.26793722,46.63118557,47.27718894,47.08031674,46.61318681,46.6469697,47.01666667,47.92175732,47.40605469,47.91481481,46.84524887,47.93056537,49.01369295,47.52686567,47.9384858,47.14956522,47.30042735,48.44532258,48.17102273,47.97109375,46.88776371,47.60935961,46.6176,48.35682493,47.92307692,48.49846491,47.70456989,47.89354839,47.43084239
